model_name,gamma,epochs,accuracy,macro_f1,worst_gap,macro_gap,model_dir
focal_gamma20_3ep,2.0,3,0.6061705989110708,0.6154713000093408,0.30000000000000004,0.14587879294947123,models/challengers/focal_gamma20_3ep
focal_gamma15_3ep,1.5,3,0.6063520871143375,0.6127601075298852,0.31176470588235294,0.13880573238578137,models/challengers/focal_gamma15_3ep
focal_gamma10_3ep,1.0,3,0.6049001814882032,0.612762085788582,0.3647058823529412,0.12793864028762755,models/challengers/focal_gamma10_3ep
