base_model,method,tau,accuracy,macro_f1,worst_gap,macro_gap
label_smoothing_eps01_2ep,Post-hoc Logit Adjustment on LS eps01,0.3,0.6096188747731397,0.6260301898810607,0.3411764705882353,0.1296331272928089
label_smoothing_eps01_2ep,Post-hoc Logit Adjustment on LS eps01,0.7,0.6056261343012704,0.6243105592979975,0.34705882352941175,0.1250462737279919
label_smoothing_eps01_2ep,Post-hoc Logit Adjustment on LS eps01,0.5,0.6061705989110708,0.6237200855928051,0.34705882352941175,0.12545732020620845
