notebook,model_name,method,scrub_at_inference,model_dir,accuracy,macro_f1,overall_flip_rate,status,error,flip_Москва,flip_Екатеринбург,flip_Новосибирск,flip_Краснодар,flip_Воронеж
c11,scrubbing_label_smoothing_eps01_2ep,Scrub + LS + sqrt_rw,True,notebooks/models/challengers/scrubbing_label_smoothing_eps01_2ep,0.6054446460980036,0.6203699309632715,0.001633393829401089,ok,,0.001633393829401089,0.001633393829401089,0.001633393829401089,0.001633393829401089,0.001633393829401089
c12,label_smoothing_rdrop_eps01_alpha10_2ep,LS + R-Drop + sqrt_rw,False,notebooks/models/challengers/label_smoothing_rdrop_eps01_alpha10_2ep,0.6068965517241379,0.6203841850650377,0.06043557168784029,ok,,0.016515426497277677,0.037023593466424684,0.03502722323049002,0.03212341197822142,0.02558983666061706
c13,scrubbing_rdrop_alpha10_2ep,Scrub + R-Drop + sqrt_rw,True,notebooks/models/challengers/scrubbing_rdrop_alpha10_2ep,0.6063520871143375,0.622049020599317,0.0009074410163339383,ok,,0.0009074410163339383,0.0009074410163339383,0.0009074410163339383,0.0009074410163339383,0.0009074410163339383
c14,class_balanced_ls_eps01_beta099_2ep,CBCE + LS + sqrt_rw,False,notebooks/models/challengers/class_balanced_ls_eps01_beta099_2ep,0.6030852994555354,0.6172445794962903,0.08620689655172414,ok,,0.031578947368421054,0.05045372050816697,0.05970961887477314,0.04591651542649728,0.04228675136116152
