final_rank,base_model_name,method,recipe,runs,seeds,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,worst_gap_mean,worst_gap_std,macro_gap_mean,macro_gap_std
1,rdrop_alpha10_2ep,R-Drop + sqrt_rw,rdrop,3,"7,13,21",0.5989715668481549,0.01210994684235942,0.6173737709183578,0.004752660432165787,0.32941176470588235,0.010188534162169862,0.1293208451443175,0.01738516523262291
2,label_smoothing_eps01_2ep,Label Smoothing + sqrt_rw,label_smoothing,3,"7,13,21",0.5946763460375076,0.007536314485566051,0.6097684990393226,0.006063730884298394,0.31176470588235294,0.0444107907957103,0.1278081270599846,0.0068368060162066185
3,weighted_sampler_citypow15_2ep,Weighted Sampler (city_group) + Plain CE,weighted_sampler,3,"7,13,21",0.5671506352087115,0.002673488178340515,0.5662149106193078,0.00475560092300567,0.32156862745098036,0.047908987148512265,0.12669915144863106,0.004349016631188331
