family,model_name,model_path,accuracy,macro_f1,overall_flip_rate,status,error,flip_Москва,flip_Екатеринбург,flip_Новосибирск,flip_Краснодар,flip_Воронеж
label_smoothing,label_smoothing_eps01_2ep,/Users/natashaagapova/Documents/A-INNOPOLIS/A-THESIS/my-repository/notebooks/models/challengers/label_smoothing_eps01_2ep,0.6083484573502722,0.6229579754516105,0.08911070780399274,ok,,0.021415607985480943,0.04500907441016334,0.03901996370235935,0.050816696914700546,0.041016333938294014
rdrop,rdrop_alpha10_2ep,/Users/natashaagapova/Documents/A-INNOPOLIS/A-THESIS/my-repository/notebooks/models/challengers/rdrop_alpha10_2ep,0.6067150635208711,0.6200736985847453,0.06206896551724138,ok,,0.013793103448275862,0.03938294010889292,0.027404718693284938,0.02885662431941924,0.023411978221415608
class_balanced,class_balanced_cbce_beta099_2ep,/Users/natashaagapova/Documents/A-INNOPOLIS/A-THESIS/my-repository/notebooks/models/challengers/class_balanced_cbce_beta099_2ep,0.6068965517241379,0.6207870115762675,0.05771324863883848,ok,,0.013793103448275862,0.03284936479128857,0.02885662431941924,0.02885662431941924,0.026134301270417423
groupdro,bert_gdro_eta005_2ep,/Users/natashaagapova/Documents/A-INNOPOLIS/A-THESIS/my-repository/notebooks/models/challengers/bert_gdro_eta005_2ep,0.5747731397459165,0.5901271899385397,0.08747731397459166,ok,,0.015970961887477313,0.04373865698729583,0.035571687840290384,0.033030852994555354,0.04827586206896552
focal,focal_gamma1_2ep,/Users/natashaagapova/Documents/A-INNOPOLIS/A-THESIS/my-repository/notebooks/models/challengers/focal_gamma1_2ep,0.6041742286751361,0.6191096286531808,0.0867513611615245,ok,,0.020326678765880218,0.04736842105263158,0.04918330308529945,0.040653357531760435,0.03103448275862069
