city_mentions,count
san francisco,780
new york,324
chicago,161
austin,134
los angeles,110
houston,107
boston,107
dallas,98
hyderabad,91
atlanta,69
london,49
seattle,42
bangalore,26
singapore,19
mumbai,18
delhi,13
pune,12
melbourne,9
berlin,8
toronto,7
sydney,6
paris,5
bengaluru,4
dubai,3
vancouver,3
madrid,2
