model,folder_name,source_folder,bert_dir,classifier_pt,label_encoder,best_pt,training_config,restored,restore_dir,verified_load,error,load_ok,tokenizer_ok,num_labels,classifier_shape,error_verify
adversarial,bert_adversarial,notebooks/models/bert_adversarial,notebooks/models/bert_adversarial/bert,notebooks/models/bert_adversarial/classifier.pt,notebooks/models/bert_adversarial/label_encoder.joblib,notebooks/models/bert_adversarial_best.pt,notebooks/models/bert_adversarial/training_config.json,False,,False,"RuntimeError: Classifier state mismatch. Restored keys: []; expected: ['bias', 'weight']",False,False,,,"RuntimeError: Classifier state mismatch. Restored keys: []; expected: ['bias', 'weight']"
attr_reg,bert_attr_reg,notebooks/models/bert_attr_reg,notebooks/models/bert_attr_reg/bert,notebooks/models/bert_attr_reg/classifier.pt,notebooks/models/bert_attr_reg/label_encoder.joblib,notebooks/models/bert_attr_reg_best.pt,notebooks/models/bert_attr_reg/training_config.json,False,,False,"RuntimeError: Classifier state mismatch. Restored keys: []; expected: ['bias', 'weight']",False,False,,,"RuntimeError: Classifier state mismatch. Restored keys: []; expected: ['bias', 'weight']"
