model,restore_dir,load_ok,tokenizer_ok,num_labels,classifier_shape,error
adversarial,notebooks/results/two-models-restore/restored_models/adversarial,True,True,9,9x768,
attr_reg,notebooks/results/two-models-restore/restored_models/attr_reg,True,True,9,9x768,
