split,mean_chars,median_chars,p90_chars,mean_words
test,5080.519419237749,3032.5,12378.200000000004,620.478947368421
train,5134.782637628554,3070.0,12717.800000000003,627.8422867513611
val,5260.480217785844,3074.5,12992.900000000003,643.4885662431942
