model,mean,median,max,label
debiased,0.0017748483434444,0.0,0.0238599796308719,Debiased
focal,0.00285231641728,0.0,0.0334401371038313,Focal
label_smooth,0.0028640202479364,0.0,0.0301574591809439,Label smoothing
baseline,0.0030574789593509,0.0,0.0424688495081299,Baseline
scrubbing,0.0040474397714097,0.0,0.0598603450715185,Data scrubbing
oversample,0.0042685594863875,0.0,0.049442078686572,Oversample
gdro,0.0072686971843725,0.0,0.1249050848154337,GroupDRO
