model,category,accuracy,macro_f1,worst_gap,macro_gap,folder
Baseline,baseline,0.609,0.621,0.329,0.116,bert_9classes_final
Label Smoothing,in-processing,0.5961887477313974,0.6080545461159175,0.3294117647058824,0.139536811744611,bert_label_smoothing
Focal Loss,in-processing,0.5925589836660617,0.6134318484078286,0.3294117647058824,0.1356819274341358,bert_focal_loss
Adversarial,in-processing,0.574410163339383,0.5942314793308253,0.4294117647058823,0.13183392148999445,bert_adversarial
GroupDRO η=0.1,in-processing,0.5477313974591651,0.552505752091434,0.2647058823529411,0.1129547238136067,bert_gdro_eta01_2ep
Data Scrubbing,attribution,0.5941923774954628,0.6105665172611873,0.30000000000000004,0.11207720185252505,bert_scrubbing
Attr Reg λ=0.1,attribution,0.5833030852994555,0.6011648284423201,0.33529411764705885,0.11629834117263504,bert_attr_reg
