model,mean,median,max
baseline,0.003057478959350981,0.0,0.04246884950812995
debiased,0.0017748483434444015,0.0,0.023859979630871993
focal,0.0028523164172800978,0.0,0.033440137103831306
gdro,0.007268697184372527,0.0,0.12490508481543375
label_smooth,0.0028640202479364883,0.0,0.03015745918094392
oversample,0.004268559486387588,0.0,0.04944207868657204
scrubbing,0.004047439771409766,0.0,0.05986034507151852
