,екатеринбург,ижевск,казань,краснодар,красноярск,магнитогорск,москва,нижний,новосибирск,пермь,петербург,ростов,самара,спб,томск,уфа,челябинск
baseline,0.04058475031827887,0.02543874830007553,0.003434851299971342,0.003434851299971342,0.003434851299971342,0.04058475031827887,-0.013640126097016037,0.02543874830007553,-0.0733383409678936,0.15888315439224243,0.09671901166439056,0.09288065135478973,0.09464590228162706,0.15888315439224243,0.09288065135478973,0.003434851299971342,0.02543874830007553
scrubbing,0.002022833563387394,0.007245543412864208,0.01297447644174099,0.01297447644174099,0.01297447644174099,0.002022833563387394,-0.0028588389977812767,0.007245543412864208,0.004857097519561648,-0.019226020202040672,-0.00828540325164795,-0.014151519164443016,0.030939758755266666,-0.019226020202040672,-0.014151519164443016,0.01297447644174099,0.007245543412864208
gdro,-0.012111105180035034,-0.05605547875165939,0.002877557184547186,0.002877557184547186,0.002877557184547186,-0.012111105180035034,0.012723314110189676,-0.05605547875165939,-0.03915293887257576,0.01626477763056755,0.022957873220245045,0.016844606027007103,-0.06029302556999028,0.01626477763056755,0.016844606027007103,0.002877557184547186,-0.05605547875165939
focal,-0.02810550977786382,0.04460195079445839,-0.14580968022346497,-0.14580968022346497,-0.14580968022346497,-0.02810550977786382,-0.024357508576940745,0.04460195079445839,-0.020792020484805107,0.011696052737534046,0.02320899721235037,0.016891200095415115,-0.0758078028447926,0.011696052737534046,0.016891200095415115,-0.14580968022346497,0.04460195079445839
label_smooth,-0.02149312904415031,-0.04410400986671448,0.001795721473172307,0.001795721473172307,0.001795721473172307,-0.02149312904415031,0.006492399435956031,-0.04410400986671448,-0.01623147912323475,0.0027574440464377403,0.039546349085867405,-0.022171098738908768,-0.13969422259833664,0.0027574440464377403,-0.022171098738908768,0.001795721473172307,-0.04410400986671448
debiased,0.0024139044883971414,-0.0003928035730496049,0.009012134745717049,0.009012134745717049,0.009012134745717049,0.0024139044883971414,0.003958747562137432,-0.0003928035730496049,-0.030781087290961295,0.00013388245133683085,0.0007814486937907835,-0.0013776177074760199,0.04432278964668512,0.00013388245133683085,-0.0013776177074760199,0.009012134745717049,-0.0003928035730496049
oversample,-0.2331147026270628,-0.05823355168104172,0.0016619991511106491,0.0016619991511106491,0.0016619991511106491,-0.2331147026270628,-0.046398235484957695,-0.05823355168104172,-0.05925963073968887,-0.04690343514084816,-0.0781491609911124,-0.6427725553512573,0.3116226112470031,-0.04690343514084816,-0.6427725553512573,0.0016619991511106491,-0.05823355168104172
