description,acc,macro_f1,gap_acc_city,tpr_gap_worst,tpr_gap_macro,tpr_gap_worst_robust,tpr_gap_macro_robust,model
BERT 2ep sqrt_rw (current best),0.608529945553539,0.6206270877990566,0.6,1.0,0.9629629629629632,0.3294117647058824,0.1155003443997959,bert_9classes_final
BERT 1ep inverse_rw,0.5945553539019963,0.608353781152881,0.6701492537313434,1.0,1.0,0.3588235294117647,0.1184190914655605,bert_9classes_old_rw_1ep
BERT 1ep GroupDRO v1,0.5357531760435572,0.5410793867387163,0.6066334991708127,1.0,0.977777777777778,0.3352941176470588,0.1221700780952953,bert_9classes_old_gdro_eta0.1_1ep
BERT 1ep GroupDRO v2,0.4662431941923775,0.4508381667400454,0.4834162520729684,1.0,0.8888888888888888,0.4176470588235294,0.1485052131501201,bert_9classes_gdro_eta0.1_1ep
