run_key,model_dir,accuracy,macro_f1,overall_flip_rate
1_baseline,bert_9classes_final,0.608529945553539,0.6206270877990566,0.07713248638838476
2_groupdro,bert_gdro_eta01_2ep,0.5477313974591651,0.552505752091434,0.11578947368421053
3_scrubbing,bert_scrubbing,0.5941923774954628,0.6106395818352593,0.0
4_oversampling,bert_oversample_only,0.6005444646098004,0.611462531934235,0.10036297640653358
5_focal_loss,bert_focal_loss,0.5925589836660617,0.6134318484078286,0.06896551724137931
6_adversarial,,,,
7_label_smoothing,bert_label_smoothing,0.5961887477313974,0.6080545461159175,0.10725952813067151
8_attribution_reg,,,,
9_combined_scrub_gdro,bert_debiased_combo,0.4865698729582577,0.47525862669979535,0.0
10_combined_best,combined_scrubbing_groupdro,0.5764065335753176,0.5971173664042575,0.0
