row_id,track,family_group,method_group,source_block,model_name,display_name,method,seed,accuracy,macro_f1,worst_gap,macro_gap,overall_flip_rate,model_dir,summary_source,track_order,family_order
22,challenger,weighted_sampler,weighted_sampler,challenger,weighted_sampler_citypow05_2ep,weighted_sampler_citypow05_2ep,Weighted Sampler (city_group) + Plain CE,,0.5918330308529945,0.6016061464289595,0.3529411764705882,0.1480830533558504,,notebooks/models/challengers/weighted_sampler_citypow05_2ep,figures/challengers/c06_weighted_sampler_tuning_summary.csv,1,9
23,challenger,weighted_sampler,weighted_sampler,challenger,weighted_sampler_citypow10_2ep,weighted_sampler_citypow10_2ep,Weighted Sampler (city_group) + Plain CE,,0.5778584392014519,0.5830438876590894,0.3294117647058824,0.1314747757969671,,notebooks/models/challengers/weighted_sampler_citypow10_2ep,figures/challengers/c06_weighted_sampler_tuning_summary.csv,1,9
24,challenger,weighted_sampler,weighted_sampler,challenger,weighted_sampler_citypow15_2ep,weighted_sampler_citypow15_2ep,Weighted Sampler (city_group) + Plain CE,,0.5609800362976407,0.5609254778980721,0.288235294117647,0.1071853950474154,,notebooks/models/challengers/weighted_sampler_citypow15_2ep,figures/challengers/c06_weighted_sampler_tuning_summary.csv,1,9
25,challenger,rdrop,rdrop,challenger,rdrop_alpha20_2ep,rdrop_alpha20_2ep,R-Drop + sqrt_rw,,0.6041742286751361,0.6207123920042265,0.3352941176470588,0.1375226861678465,,notebooks/models/challengers/rdrop_alpha20_2ep,figures/challengers/c07_rdrop_tuning_summary.csv,1,10
26,challenger,rdrop,rdrop,challenger,rdrop_alpha10_2ep,rdrop_alpha10_2ep,R-Drop + sqrt_rw,,0.6067150635208711,0.6200736985847453,0.3117647058823529,0.1268109708476176,,notebooks/models/challengers/rdrop_alpha10_2ep,figures/challengers/c07_rdrop_tuning_summary.csv,1,10
27,challenger,rdrop,rdrop,challenger,rdrop_alpha05_2ep,rdrop_alpha05_2ep,R-Drop + sqrt_rw,,0.6056261343012704,0.6182892446683975,0.3294117647058824,0.1156978952232596,,notebooks/models/challengers/rdrop_alpha05_2ep,figures/challengers/c07_rdrop_tuning_summary.csv,1,10
28,challenger,class_balanced,class_balanced,challenger,class_balanced_cbce_beta099_2ep,class_balanced_cbce_beta099_2ep,Class-Balanced CE + sqrt_rw,,0.6068965517241379,0.6207870115762675,0.3882352941176471,0.1372489536973299,,notebooks/models/challengers/class_balanced_cbce_beta099_2ep,figures/challengers/c04_class_balanced_tuning_summary.csv,1,11
29,challenger,class_balanced,class_balanced,challenger,class_balanced_cbce_beta0999_2ep,class_balanced_cbce_beta0999_2ep,Class-Balanced CE + sqrt_rw,,0.600907441016334,0.6153106426463365,0.3352941176470588,0.1359553574353088,,notebooks/models/challengers/class_balanced_cbce_beta0999_2ep,figures/challengers/c04_class_balanced_tuning_summary.csv,1,11
30,challenger,class_balanced,class_balanced,challenger,class_balanced_cbfocal_beta0999_gamma20_2ep,class_balanced_cbfocal_beta0999_gamma20_2ep,Class-Balanced Focal + sqrt_rw,,0.6025408348457351,0.6123860647484901,0.3647058823529412,0.1388787498112628,,notebooks/models/challengers/class_balanced_cbfocal_beta0999_gamma20_2ep,figures/challengers/c04_class_balanced_tuning_summary.csv,1,11
31,challenger,logit_adjustment,logit_adjustment,challenger,logit_adjustment_tau05_2ep,logit_adjustment_tau05_2ep,Logit Adjustment + sqrt_rw,,0.5989110707803993,0.6172219522924072,0.3705882352941176,0.1258588814468865,,notebooks/models/challengers/logit_adjustment_tau05_2ep,figures/challengers/c05_logit_adjustment_tuning_summary.csv,1,12
32,challenger,logit_adjustment,logit_adjustment,challenger,logit_adjustment_tau10_2ep,logit_adjustment_tau10_2ep,Logit Adjustment + sqrt_rw,,0.5954627949183303,0.6102200200040417,0.3588235294117647,0.1419195865412701,,notebooks/models/challengers/logit_adjustment_tau10_2ep,figures/challengers/c05_logit_adjustment_tuning_summary.csv,1,12
33,challenger,logit_adjustment,logit_adjustment,challenger,logit_adjustment_tau15_2ep,logit_adjustment_tau15_2ep,Logit Adjustment + sqrt_rw,,0.57005444646098,0.5960765899762928,0.3529411764705882,0.1212795459193924,,notebooks/models/challengers/logit_adjustment_tau15_2ep,figures/challengers/c05_logit_adjustment_tuning_summary.csv,1,12
34,challenger,other,other,challenger,ls_gdro_eps005_eta005_3ep,ls_gdro_eps005_eta005_3ep,Label Smoothing + GroupDRO + sqrt_rw,,0.588021778584392,0.5998254338634305,0.3352941176470588,0.1323258849134338,,models/challengers/ls_gdro_eps005_eta005_3ep,figures/challengers/c03_label_smoothing_groupdro_summary.csv,1,99
35,challenger,other,other,challenger,ls_gdro_eps01_eta005_3ep,ls_gdro_eps01_eta005_3ep,Label Smoothing + GroupDRO + sqrt_rw,,0.5856624319419238,0.5941959348538205,0.3352941176470588,0.1269253064341109,,models/challengers/ls_gdro_eps01_eta005_3ep,figures/challengers/c03_label_smoothing_groupdro_summary.csv,1,99
36,challenger,other,other,challenger,bert_gdro_eta005_2ep,bert_gdro_eta005_2ep,,,0.5747731397459165,0.5901271899385397,0.288235294117647,0.1218049116811898,,notebooks/models/challengers/bert_gdro_eta005_2ep,figures/challengers/c01_groupdro_tuning_summary.csv,1,99
37,challenger,other,other,challenger,ls_gdro_eps01_eta01_3ep,ls_gdro_eps01_eta01_3ep,Label Smoothing + GroupDRO + sqrt_rw,,0.5740471869328494,0.5870647730209027,0.3117647058823529,0.1194778927886587,,models/challengers/ls_gdro_eps01_eta01_3ep,figures/challengers/c03_label_smoothing_groupdro_summary.csv,1,99
38,challenger,other,other,challenger,bert_gdro_eta01_2ep,bert_gdro_eta01_2ep,,,0.5459165154264973,0.5621909567120867,0.2764705882352941,0.1305237193002623,,notebooks/models/challengers/bert_gdro_eta01_2ep,figures/challengers/c01_groupdro_tuning_summary.csv,1,99
39,challenger,other,other,challenger,bert_gdro_eta02_2ep,bert_gdro_eta02_2ep,,,0.520508166969147,0.5331575695279556,0.3470588235294117,0.1252021500710214,,notebooks/models/challengers/bert_gdro_eta02_2ep,figures/challengers/c01_groupdro_tuning_summary.csv,1,99
